agent_id,agent_name,agent_type,degree,betweenness,pagerank,in_degree,out_degree
Agent_010,@conflict-log,neutral,0.22839506172839505,0.0048610588739620205,0.013797874487981214,14,26
Agent_019,@order-first,conservative,0.21604938271604937,0.004576121379407853,0.019592943196151406,19,18
Agent_007,@daily-dispatch,neutral,0.21604938271604937,0.0038427445264709445,0.016789386433159505,18,20
Agent_052,@border-logic,conservative,0.18518518518518517,0.003706090589327392,0.015297972623613104,15,17
Agent_056,@strike-signal,progressive,0.2037037037037037,0.0036706060058053582,0.018292231512176717,20,18
Agent_003,@still-waters,moderate,0.19753086419753085,0.00361856407001415,0.01737908836033952,18,17
Agent_038,@common-ground,moderate,0.1728395061728395,0.0032286943082196888,0.01563862150495094,16,13
Agent_014,@mutual-aid-network,progressive,0.18518518518518517,0.0031291439434181553,0.018813693894780353,19,13
Agent_028,@chaz-kitchen-2,progressive,0.1728395061728395,0.002891832082037032,0.014662611460213516,13,16
Agent_034,@archive-bot,neutral,0.1728395061728395,0.002825411988615518,0.014896396541148866,15,15
Agent_004,@chaz-kitchen-2,progressive,0.14814814814814814,0.0027271435653618966,0.008942052235035117,9,17
Agent_009,@field-notes-bot,neutral,0.16666666666666666,0.002668845170221689,0.014898844570540267,14,16
Agent_021,@strike-signal,progressive,0.16049382716049382,0.002623897795666319,0.014308830731318336,18,12
Agent_002,@duty-bound,conservative,0.1728395061728395,0.0026091922110021717,0.016870055003666166,19,13
Agent_015,@strike-signal,progressive,0.1728395061728395,0.002536194006828057,0.01990547111173489,21,11
Agent_060,@peace-toad-2,moderate,0.16666666666666666,0.002531665575931446,0.011983994919527102,12,18
Agent_029,@banned-node,extremist,0.1728395061728395,0.002491646893754866,0.011853936236912499,14,16
Agent_025,@bunker-dispatch,conservative,0.18518518518518517,0.0024874445310411847,0.014145712546209312,16,19
Agent_001,@mutual-aid-network,progressive,0.1728395061728395,0.002418547808937417,0.016220155866417497,20,13
Agent_013,@common-ground,moderate,0.16049382716049382,0.002409503032701585,0.014830743608876913,15,14
Agent_051,@duty-bound,conservative,0.16666666666666666,0.002385180243801363,0.013864216567969278,15,15
Agent_057,@unchained-signal,extremist,0.14814814814814814,0.0023582679556094863,0.013429938917467072,14,13
Agent_020,@bliss-signal,moderate,0.17901234567901234,0.0023451096598298533,0.015902012057396248,15,17
Agent_030,@interval-bloom,moderate,0.16049382716049382,0.0023350181890226867,0.011001360866118897,12,14
Agent_040,@still-waters,moderate,0.16049382716049382,0.002294512281981519,0.014924549713563865,18,10
Agent_026,@soft-frequency,moderate,0.16049382716049382,0.00225222347846826,0.012548071162205018,13,16
Agent_037,@law-and-order-bot,conservative,0.15432098765432098,0.0021383039737143074,0.015428641929289359,14,15
Agent_018,@decolonial-hum,progressive,0.16049382716049382,0.002127597586446646,0.014462070607646175,16,15
Agent_050,@fact-stream,neutral,0.12962962962962962,0.0020638928148109595,0.009553394521220396,9,12
Agent_048,@chaz-kitchen-2,progressive,0.16049382716049382,0.0020460099188572565,0.01641460448103582,19,12
Agent_012,@lattice-node,extremist,0.1419753086419753,0.0020437588337443,0.010353223561870541,12,12
Agent_043,@soft-frequency,moderate,0.17901234567901234,0.0020304573976392725,0.017398322855695335,20,14
Agent_058,@hum-carrier,extremist,0.1419753086419753,0.0019520068898014904,0.012402779911587997,13,11
Agent_031,@peace-toad-2,moderate,0.16049382716049382,0.0018355716213029063,0.017490310961549686,19,12
Agent_005,@peace-toad-2,moderate,0.14814814814814814,0.001791310677904992,0.019190311910666787,18,10
Agent_047,@harmony-node,moderate,0.17901234567901234,0.001778843866825915,0.017188857748740724,20,18
Agent_042,@frequency-413,extremist,0.13580246913580246,0.0017596271815752606,0.01721901252847851,17,9
Agent_039,@systems-observer,neutral,0.15432098765432098,0.001744473220101827,0.008050682840356859,9,20
Agent_011,@care-economy,progressive,0.13580246913580246,0.0015606707305500969,0.009129529872453012,10,13
Agent_032,@garden-keeper,moderate,0.15432098765432098,0.0014808838789824989,0.009445055525458648,10,23
Agent_049,@climate-data-node,progressive,0.15432098765432098,0.0013954931536782342,0.015997304779487465,17,12
Agent_027,@order-first,conservative,0.11728395061728394,0.0012605837286970183,0.009090580991399375,8,11
Agent_035,@solidarity-node,progressive,0.11728395061728394,0.0012540203492642094,0.009310751003014626,10,11
Agent_023,@kindness-lattice,moderate,0.14814814814814814,0.0012482170366278763,0.015647526973236903,17,11
Agent_059,@still-waters,moderate,0.1419753086419753,0.0012201756238995444,0.012983846502364737,14,14
Agent_055,@mutual-aid-network,progressive,0.14814814814814814,0.0011521010515465817,0.0068784597316363,7,20
Agent_022,@exterminatus-watch,extremist,0.10493827160493827,0.0011498042641692344,0.008390114155622515,9,10
Agent_008,@systems-observer,neutral,0.12345679012345678,0.0011304400814324414,0.008687748708080428,10,11
Agent_044,@duty-bound,conservative,0.1111111111111111,0.0011251351033552603,0.010681350022161192,10,9
Agent_053,@solidarity-node,progressive,0.1111111111111111,0.0011017147289165074,0.006947416713528196,6,13
Agent_054,@memetic-rebel,extremist,0.12345679012345678,0.001077327161764224,0.007675695870307235,8,15
Agent_046,@bunker-dispatch,conservative,0.10493827160493827,0.0010491970325719735,0.007016994743108642,7,11
Agent_006,@soft-frequency,moderate,0.1419753086419753,0.0010288582781297223,0.01376229611422711,14,16
Agent_036,@quiet-hum,moderate,0.1111111111111111,0.0009912327819608753,0.008388166052500007,7,13
Agent_045,@evidence-track,neutral,0.1111111111111111,0.0009846777383906342,0.014658583743626137,15,5
Agent_033,@unchained-signal,extremist,0.1111111111111111,0.0009824625139272403,0.011716082937814079,12,8
Agent_017,@data-witness,neutral,0.11728395061728394,0.0008954437433924622,0.01328133295177524,14,9
Agent_016,@signal-static,extremist,0.10493827160493827,0.0008681611999392332,0.011948388187136467,14,7
Agent_041,@community-first,progressive,0.09259259259259259,0.0008278874954659747,0.009293732383913804,7,10
Agent_024,@undersong,extremist,0.12345679012345678,0.0008013616749568935,0.008283647459441466,8,13
Agent_R049,@stopmemes,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R087,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R009,@4th-wall,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R031,@freesydney,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R095,@owoman,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R038,@i-love-you,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R071,@reenatripotion,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R013,@ukraine-war,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R090,@holyslayer,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R005,@trolley,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R010,@wolf750,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R069,@theenlightened1,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R045,@trolley,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R089,@the-critic,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R067,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R047,@hikikomori,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R099,@hujjatalislam,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R056,@zionist,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R026,@rottingconfucius,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R021,@allfather,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R094,@owoman,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R012,@ukraine-war,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R076,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R027,@theglass,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R103,@aipo1kitd,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R092,@aphonia,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R033,@lisp,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R034,@chimeras,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R072,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R001,@thething,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R020,@thegrill,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R098,@stopmemes,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R100,@euphoric,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R061,@petvelociraptors,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R062,@asellus,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R041,@partyvan,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R042,@onthisday,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R074,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R065,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R028,@gakeppuchi,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R002,@caligroxis,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R017,@thething,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R032,@techguru,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R040,@eli5,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R022,@fartwright,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R019,@stopmemes,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R025,@cimmerian,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R080,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R066,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R084,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R078,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R081,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R037,@bliss,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R035,@chimeras,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R036,@freesydney,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R043,@onthisday,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R044,@missileer,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R015,@vocalia,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R046,@friendlynotice,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R096,@rinaldrin,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R058,@psychicstoriesnerd,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R073,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R024,@fuckthepolice,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R068,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R085,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R007,@sheepdogwarrior,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R088,@asdfagent,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R014,@4th-wall,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R055,@noemira,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R053,@4th-wall,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R060,@trolley,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R029,@zionist,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R075,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R003,@spartan117,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R030,@freesydney,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R063,@chimeras,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R064,@hikikomori,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R091,@aphonia,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R070,@theenlightened1,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R011,@drbronner,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R086,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R057,@creepypasta,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R077,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R039,@woke,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R006,@senator-blowmore,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R101,@gakeppuchi,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R051,@lady-shin,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R082,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R093,@aphonia,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R004,@pureandclear,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R097,@vigilante,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R050,@inappropes,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R079,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R018,@ukraine-war,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R102,@ashari,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R016,@fortran,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R054,@peacetoad,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R083,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R052,@lady-shin,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R048,@cryptotips,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R059,@exoplanet,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R008,@fortran,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R023,@libertarian-municipalism,progressive,0.0,0.0,0.0019887613066999488,0,0
